"codigo","TUSS","TUSSxRol","procedimento","RN","Vigencia","OD","AMB","HCO","HSO","PAC","DUT","subgrupo","grupo","capitulo"
30310083,"Iridectomia (laser ou cirúrgica)","SIM","IRIDECTOMIA (LASER OU CIRÚRGICA)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310091,"Iridociclectomia","SIM","IRIDOCICLECTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310105,"Sinequiotomia (cirúrgica)","SIM","SINEQUIOTOMIA (LASER OU CIRÚRGICA)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310113,"Sinequiotomia (laser)","SIM","SINEQUIOTOMIA (LASER OU CIRÚRGICA)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310130,"Iridoplastia periférica a laser","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30310148,"Sutura de íris - pupiloplastia","SIM","FACECTOMIA COM LENTE INTRA-OCULAR COM OU SEM FACOEMULSIFICAÇÃO",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"CRISTALINO","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","TRANSPLANTE DE CÓRNEA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CÓRNEA","TRANSPLANTES DE ÓRGÃOS OU TECIDOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","IRIDECTOMIA (LASER OU CIRÚRGICA)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","IRIDOCICLECTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM OU SEM IMPLANTES DE DRENAGEM",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","BIÓPSIA DE ÍRIS E CORPO CILIAR",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","FIXAÇÃO ESCLERAL OU IRIANA DE LENTE INTRA-OCULAR (EXCETO PARA CORREÇÃO ISOLADA DE DISTÚRBIOS DE REFRAÇÃO)",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","RECONSTRUÇÃO DA CÂMARA ANTERIOR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CÂMARA ANTERIOR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310148,"Sutura de íris - pupiloplastia","SIM","SINEQUIOTOMIA (LASER OU CIRÚRGICA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310156,"Revisão de cirurgia fistulizante antiglaucomatosa","SIM","CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM OU SEM IMPLANTES DE DRENAGEM",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310172,"Cirurgia antiglaucomatosa via angular, com implante de drenagem, por técnica minimamente invasiva","SIM","CIRURGIA ANTIGLAUCOMATOSA VIA ANGULAR COM IMPLANTE DE STENT DE DRENAGEM POR TÉCNICA MINIMAMENTE INVASIVA (COM DIRETRIZ DE UTILIZAÇÃO)","473/2021","44508",NA,NA,"HCO","HSO",NA,"149","ÍRIS E CORPO CILIAR","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30310121,"Cirurgia antiglaucomatosa via angular sem implante de drenagem","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30311012,"Biópsia de músculos","SIM","BIÓPSIA DE MÚSCULOS",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"MÚSCULOS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311020,"Cirurgia com sutura ajustável","SIM","CIRURGIA COM SUTURA AJUSTÁVEL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"MÚSCULOS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311039,"Estrabismo ciclo vertical/transposição - monocular - tratamento cirúrgico","SIM","ESTRABISMO CICLO VERTICAL/TRANSPOSIÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"MÚSCULOS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311047,"Estrabismo horizontal - monocular - tratamento ciúrgico","SIM","ESTRABISMO HORIZONTAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"MÚSCULOS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311055,"Injeção de toxina botulínica - monocular","SIM","INJEÇÃO OCULAR DE TOXINA BOTULÍNICA",NA,NA,NA,"AMB","HCO","HSO","PAC",NA,"MÚSCULOS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311063,"Cirurgia de nistagmo","SIM","CIRURGIA COM SUTURA AJUSTÁVEL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"MÚSCULOS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311063,"Cirurgia de nistagmo","SIM","TRANSPOSIÇÃO MUSCULAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"MÚSCULOS E FASCIAS","SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311063,"Cirurgia de nistagmo","SIM","DESINSERÇÃO OU MIOTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"MÚSCULOS E FASCIAS","SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30311063,"Cirurgia de nistagmo","SIM","TENOTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"TENDÕES, BURSAS E SINÓVIAS","SISTEMA MÚSCULO-ESQUELÉTICO E ARTICULAÇÕES","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312019,"Aplicação de placa radiativa episcleral","SIM","APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312027,"Biópsia de retina","SIM","BIÓPSIA DE RETINA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312035,"Exérese de tumor de coróide e/ou corpo ciliar","SIM","EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312043,"Fotocoagulação (laser) - por sessão - monocular","SIM","FOTOCOAGULAÇÃO (LASER)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312051,"Infusão de gás expansor","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30312060,"Pancrioterapia periférica","SIM","PANCRIOTERAPIA PERIFÉRICA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312078,"Remoção de implante episcleral","SIM","REMOÇÃO DE IMPLANTE EPISCLERAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312086,"Retinopexia com introflexão escleral","SIM","RETINOPEXIA COM INTROFLEXÃO ESCLERAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312094,"Retinopexia pneumática","SIM","RETINOPEXIA PNEUMÁTICA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312108,"Retinopexia profilática (criopexia)","SIM","RETINOPEXIA PROFILÁTICA (CRIOPEXIA)",NA,NA,NA,NA,"HCO","HSO",NA,NA,"RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312116,"Retinotomia relaxante","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30312124,"Panfotocoagulação na retinopatia da prematuridade - binocular","SIM","PANTOFOTOCOAGULAÇÃO Á LASER NA RETINOPATIA DA PREMATURIDADE (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,"AMB","HCO","HSO",NA,"59","RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312132,"Implante intravítreo de polímero farmacológico de liberação controlada","SIM","IMPLANTE INTRAVÍTREO DE POLÍMERO FARMACOLÓGICO DE LIBERAÇÃO CONTROLADA (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,"AMB","HCO","HSO",NA,"46","RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312140,"Fármaco modulação com anti-angiogênico para retinopatia diabética e obstrução venosa retiniana","SIM","TRATAMENTO OCULAR QUIMIOTERÁPICO COM ANTIANGIOGÊNICO (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,"AMB","HCO","HSO","PAC","74","CORPO VÍTREO","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30312159,"Termoterapia transpupilar","SIM","TERMOTERAPIA TRANSPUPILAR A LASER (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,"AMB","HCO","HSO",NA,"66","RETINA","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313015,"Cirurgia da glândula lacrimal","SIM","CIRURGIA DA GLÂNDULA LACRIMAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313023,"Dacriocistectomia - unilateral","SIM","DACRIOCISTECTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313031,"Dacriocistorrinostomia com ou sem intubação - unilateral","SIM","DACRIOCISTORRINOSTOMIA COM OU SEM INTUBAÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313040,"Fechamento dos pontos lacrimais","SIM","FECHAMENTO DOS PONTOS LACRIMAIS",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313058,"Reconstituição de vias lacrimais com silicone ou outro material","SIM","RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313066,"Sondagem das vias lacrimais - com ou sem lavagem","SIM","SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30313074,"Reconstituição de pontos lacrimais","SIM","RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"VIAS LACRIMAIS","OLHOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401011,"Biópsia de pavilhão auricular","SIM","BIÓPSIA DE PAVILHÃO AURICULAR",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401020,"Exérese de tumor com abordagem craniofacial oncológica pavilhão auricular (tempo facial)","SIM","EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA PAVILHÃO AURICULAR (TEMPO FACIAL)",NA,NA,NA,NA,"HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401038,"Exérese de tumor com fechamento primário","SIM","EXÉRESE DE TUMOR",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401046,"Outros defeitos congênitos que não a microtia","SIM","RECONSTRUÇÃO DE ORELHA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401054,"Reconstrução de orelha - retoques","SIM","RECONSTRUÇÃO DE ORELHA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401062,"Reconstrução de unidade anatômica do pavilhão auricular - por estágio","SIM","RECONSTRUÇÃO DE UNIDADE ANATÔMICA DO PAVILHÃO AURICULAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401070,"Reconstrução total de orelha - único estágio","SIM","RECONSTRUÇÃO TOTAL DE ORELHA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401089,"Ressecção de tumor de pavilhão auricular, incluindo parte do osso temporal","SIM","RESSECÇÃO DE TUMOR DE PAVILHÃO AURICULAR, INCLUINDO PARTE DO OSSO TEMPORAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401097,"Ressecção subtotal ou total de orelha","SIM","RESSECÇÃO DE ORELHA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30401100,"Tratamento cirúrgico de sinus pré-auricular","SIM","TRATAMENTO CIRÚRGICO DE SINUS PRÉ-AURICULAR",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"PAVILHÃO AURICULAR","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402018,"Aspiração auricular","SIM","ASPIRAÇÃO AURICULAR OU CURATIVO",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402026,"Biópsia (orelha externa)","SIM","BIÓPSIA DE ORELHA EXTERNA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402034,"Cisto pré-auricular (coloboma auris) - exérese-unilateral","SIM","EXÉRESE DE CISTO PRÉ-AURICULAR",NA,NA,NA,"AMB",NA,NA,NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402042,"Corpos estranhos, pólipos ou biópsia - em consultório","SIM","RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402050,"Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral","SIM","RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402069,"Estenose de conduto auditivo externo - correção","SIM","ESTENOSE DE CONDUTO AUDITIVO EXTERNO - CORREÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402077,"Furúnculo - drenagem (ouvido)","SIM","FURÚNCULO - DRENAGEM",NA,NA,NA,"AMB",NA,NA,NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402085,"Pericondrite de pavilhão - tratamento cirúrgico com desbridamento","SIM","PERICONDRITE DE PAVILHÃO - TRATAMENTO CIRÚRGICO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30402093,"Tumor benigno de conduto auditivo externo - exérese","SIM","TUMOR DE CONDUTO AUDITIVO EXTERNO - EXÉRESE",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA EXTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403014,"Cauterização de membrana timpânica","SIM","CAUTERIZAÇÃO DE MEMBRANA TIMPÂNICA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403030,"Estapedectomia ou estapedotomia","SIM","ESTAPEDECTOMIA OU ESTAPEDOTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403049,"Exploração e descompressão parcial do nervo facial intratemporal","SIM","EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL INTRATEMPORAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403057,"Fístula perilinfática - fechamento cirúrgico","SIM","FÍSTULA PERILINFÁTICA - FECHAMENTO CIRÚRGICO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403065,"Glomus jugular - ressecção","SIM","GLOMUS JUGULAR - RESSECÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403073,"Glomus timpânicus - ressecção","SIM","GLOMUS TIMPÂNICUS - RESSECÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403081,"Mastoidectomia simples ou radical modificada","SIM","MASTOIDECTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403090,"Ouvido congênito - tratamento cirúrgico","SIM","OUVIDO CONGÊNITO - TRATAMENTO CIRÚRGICO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403103,"Paracentese do tímpano - miringotomia, unilateral - em consultório","SIM","PARACENTESE DO TÍMPANO - MIRINGOTOMIA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403111,"Tímpano-mastoidectomia","SIM","TÍMPANO-MASTOIDECTOMIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403120,"Timpanoplastia com reconstrução da cadeia ossicular","SIM","TIMPANOPLASTIA COM RECONSTRUÇÃO DA CADEIA OSSICULAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403138,"Timpanoplastia tipo I - miringoplastia - unilateral","SIM","TIMPANOPLASTIA - MIRINGOPLASTIA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403146,"Timpanotomia exploradora - unilateral","SIM","TIMPANOTOMIA EXPLORADORA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403154,"Timpanotomia para tubo de ventilação - unilateral","SIM","TIMPANOTOMIA PARA TUBO DE VENTILAÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30403162,"Paracentese do tímpano, unilateral, em hospital - anestesia geral","SIM","PARACENTESE DO TÍMPANO - MIRINGOTOMIA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404010,"Doença de Meniere - tratamento cirúrgico - descompressão do saco endolinfático ou ""shunt""","SIM","DOENÇA DE MENIERE - TRATAMENTO CIRÚRGICO - DESCOMPRESSÃO DO SACO ENDOLINFÁTICO OU ""SHUNT""",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404029,"Enxerto parcial intratemporal do nervo facial - do foramem estilo-mastóideo ao gânglio geniculado","SIM","ENXERTO INTRATEMPORAL DO NERVO FACIAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404037,"Enxerto parcial intratemporal do nervo facial - do gânglio geniculado ao meato acústico interno","SIM","ENXERTO INTRATEMPORAL DO NERVO FACIAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404045,"Enxerto total do nervo facial intratemporal","SIM","ENXERTO INTRATEMPORAL DO NERVO FACIAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404053,"Exploração e descompressão total do nervo facial (transmastóideo, translabiríntico, fossa média)","SIM","EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404061,"Implante coclear (exceto a prótese)","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404070,"Injeção de drogas intratimpânicas","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30404088,"Labirintectomia (membranosa ou óssea) - sem audição","SIM","LABIRINTECTOMIA (MEMBRANOSA OU ÓSSEA) - SEM AUDIÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404096,"Neurectomia vestibular para fossa média ou posterior","SIM","NEURECTOMIA VESTIBULAR PARA FOSSA MÉDIA OU POSTERIOR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404100,"Neurectomia vestibular translabiríntica - sem audição","SIM","NEURECTOMIA VESTIBULAR TRANSLABIRÍNTICA - SEM AUDIÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404126,"Ressecção do osso temporal","SIM","RESSECÇÃO DO OSSO TEMPORAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404134,"Tumor do nervo acústico - ressecção via translabiríntica ou fossa média","SIM","TUMOR DO NERVO ACÚSTICO - RESSECÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,NA,"ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404142,"Doença de Meniere - tratamento cirúrgico com ultrassom","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30404150,"Procedimento cirúrgico de implante coclear unilateral (primeira implantação ou substituição)","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404169,"Substituição do ímã do implante coclear unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404177,"Cirurgia para prótese auditiva percutânea ancorada no osso unilateral (primeira implantação ou substituição)","SIM","IMPLANTE DE PRÓTESE AUDITIVA ANCORADA NO OSSO (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","44","ORELHA MÉDIA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30404185,"Neurotelemetria transoperatória do implante coclear unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
30501016,"Abscesso ou hematoma de septo nasal - drenagem","SIM","ABSCESSO OU HEMATOMA DE SEPTO NASAL - DRENAGEM COM OU SEM ANESTESIA GERAL",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"NARIZ","NARIZ E SEIOS PARANASAIS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
